고객명,성별,나이,직업,거주지,선호채널,연락처,결혼여부,자녀유무,거주 주택유형,주택 소유 여부,차량 보유 여부,차량명,연식,마케팅 활용 동의 여부,보험계약 변경 여부,보험계약 해지 여부,대출 여부,보험금 청구 유무,기타 상담 내용,자동차 보험 가입 여부,대물 보장금액,대인 보장금액,운행거리할인 특약 가입여부,생명보험 가입상품,총 납입보험료,보험계약 유지기간,대출 건수,대출 금액,대출상품,캠페인/동의정보,디지털접촉횟수,조회 정보,관심 이벤트,제공 정보
강시온,여성,23,연구원,성남,전화,010-8903-5979,결혼,아니오,주택,아니오,예,아우디,2006,예,예,예,예,예,보험료 문의,예,323580951,무한,아니오,암보험,1854994,19,1,9376851,신용대출,아니오,24,3,결제 기한,전화
강시윤,여성,41,소프트웨어 엔지니어,수원,전화,010-4758-8773,미혼,아니오,빌라,예,예,아반떼,2019,아니오,아니오,예,아니오,아니오,계약 변경 요청,예,966260630,무한,예,종신상품,4810126,3,0,0,,아니오,15,11,결제 기한,SMS
조준서,남성,48,변호사,수원,전화,010-8303-3865,미혼,아니오,오피스텔,예,예,K5,2006,아니오,예,예,예,예,계약 변경 요청,예,585131710,무한,예,정기상품,3789070,18,2,4284621,담보대출,아니오,28,8,결제 기한,앱 알림
박수호,여성,70,방송인,대전,온라인,010-1126-1934,미혼,아니오,아파트,아니오,예,포드,2003,아니오,예,아니오,예,예,기타,예,126435490,무한,아니오,연금상품,1362163,1,3,1595545,담보대출,아니오,1,1,정책 알림,SMS
임태호,남성,53,번역가,부산,전화,010-7477-5244,결혼,예,빌라,예,예,테슬라,2017,아니오,아니오,예,예,예,계약 변경 요청,예,788873943,무한,아니오,종신상품,1439778,1,3,187345,신용대출,아니오,6,6,결제 기한,SMS
윤수민,여성,58,프로그램 개발자,창원,온라인,010-8932-9390,결혼,아니오,오피스텔,아니오,예,벤츠,2010,아니오,아니오,예,예,아니오,기타,예,649554058,무한,아니오,종신상품,4533946,11,2,6650403,보험계약대출,아니오,13,12,결제 기한,SMS
최예지,여성,61,운동선수,대전,대면,010-4119-8581,결혼,예,오피스텔,아니오,예,테슬라,2001,예,아니오,아니오,예,예,보장 내용 문의,예,551694335,무한,아니오,종신상품,2736830,11,3,0,담보대출,아니오,3,5,신제품 출시,전화
윤서준,여성,69,간호사,수원,이메일,010-2559-2879,미혼,아니오,아파트,예,아니오,,,아니오,아니오,아니오,아니오,아니오,해지 문의,아니오,0,0,아니오,정기상품,184754,5,0,5358722,,아니오,17,0,신제품 출시,전화
장하린,여성,65,디자이너,대전,온라인,010-3459-2318,결혼,예,아파트,예,예,K5,2013,아니오,예,아니오,예,아니오,기타,예,659238670,무한,아니오,정기상품,2045943,14,3,8821088,,아니오,14,12,할인 혜택,SMS
정하린,여성,52,요리사,대전,온라인,010-6531-5044,결혼,아니오,아파트,예,예,테슬라,2003,예,예,아니오,예,아니오,해지 문의,예,492693615,무한,아니오,종신상품,508010,12,2,8398913,신용대출,예,27,20,할인 혜택,SMS
